Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,3500 Dekalb Ave,3500 Dekalb Ave,,Bronx,NY,10467,,888-356-8911,E,,Public,24 hours daily,,,2.0,,,FLO,https://www.flo.com,GPS,40.882337,-73.880265,04/04/2026,201636,2026-04-04 05:27:28,,,,11/25/2021,J1772
ELEC,484 43rd St,484 43rd St,,Brooklyn,NY,11232,,888-356-8911,E,,Public,24 hours daily,,,2.0,,,FLO,https://www.flo.com,GPS,40.649116,-74.006479,04/04/2026,202164,2026-04-04 05:27:42,,,,12/08/2021,J1772
ELEC,4 W 21st St.,4 W 21st St.,,New York,NY,10010,,833-611-5965,E,,Public,24 hours daily,,,4.0,,,VIALYNK,https://www.lynkwell.com,GPS,40.74057,-73.99147,04/04/2026,223265,2026-04-04 06:08:45,,,,02/15/2022,J1772
ELEC,254 E 203 St,254 E 203 St,,Bronx,NY,10458,,888-998-2546,E,,Public,24 hours daily,,,1.0,,,Blink Network,https://blinkcharging.com,GPS,40.873291,-73.884626,04/04/2026,328784,2026-04-04 00:11:09,,,,02/19/2024,J1772
ELEC,Superior Realty Group,9602 4th Avenue,,Brooklyn,NY,11209,,888-998-2546,E,,Public,24 hours daily,,,4.0,,,Blink Network,https://blinkcharging.com,GPS,40.61518,-74.031985,04/04/2026,257758,2026-04-04 00:46:41,,,,08/01/2022,J1772
ELEC,Icon Parking 175 W 90th Street - Tesla Destination,175 W 90th St,,Manhattan,NY,10024,,877-798-3752,E,,Public,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.790046,-73.972531,07/01/2024,150572,2025-02-12 00:16:32,P,,,03/31/2019,TESLA
ELEC,140 Charles St - Garage,140 Charles St,,New York,NY,10014,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,11.0,,,EVOKE,https://evokesystems.com,GPS,40.734018,-74.007895,09/12/2025,356925,2026-03-31 19:51:34,P,,,09/15/2022,J1772
ELEC,Excel Parking 87-10 Northern Blvd - Tesla Destination,87-10 Northern Blvd,,Jackson Heights,NY,11372,,877-798-3752,E,,Public,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.755839,-73.880656,07/01/2024,122482,2025-02-12 00:16:32,P,,,01/17/2019,TESLA
ELEC,City Parking Garment One Garage - Tesla Destination,155 E 34th St,,New York,NY,10016,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.746022,-73.978693,07/01/2024,115023,2025-02-12 00:16:32,P,,,06/16/2017,J1772 TESLA
ELEC,HAMPTON INN STATION 1,1120 South Ave,Side of Hampton Inn & Suites,Staten Island,NY,10314,,888-758-4389,E,,Public,24 hours daily,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.612696,-74.179012,04/04/2026,168146,2026-04-04 02:21:21,,,,11/05/2020,J1772
ELEC,60 East 94th Street - Upper Floor,40 E 94th St,,New York,NY,10128,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,10.0,,,EVOKE,https://evokesystems.com,GPS,40.785615,-73.954764,09/12/2025,357019,2026-03-31 19:51:34,P,,,01/11/2024,J1772
ELEC,125 W 76th Street,125 W 76th Street,,New York,NY,10023,,888-356-8911,E,,Public,24 hours daily,,,2.0,,,FLO,https://www.flo.com,GPS,40.780398,-73.977729,04/04/2026,216618,2026-04-04 05:28:17,,,,05/06/2022,J1772
ELEC,Balfour Building - Balfour Garage,112-20 72nd Dr,,Queens,NY,11375,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,20.0,,,EVOKE,https://evokesystems.com,GPS,40.720087,-73.83711,09/12/2025,356905,2026-03-31 19:51:34,P,,,04/12/2023,J1772
ELEC,Quik Park 86th St. LLC - Tesla Destination,444 E 86th St,,New York,NY,10028,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.775968,-73.947846,07/01/2024,115139,2025-02-12 00:16:32,P,,,11/20/2015,J1772 TESLA
ELEC,Gateway Center at Bronx Terminal Market,610 Exterior St,,Bronx,NY,10451,,888-998-2546,E,,Public,24 hours daily,,,2.0,,,Blink Network,https://blinkcharging.com,GPS,40.822142,-73.931128,04/04/2026,164227,2026-04-04 00:18:16,,,,07/15/2020,J1772
ELEC,Icon Parking 12 East 9th Street - Tesla Destination,12 E 9th St,,New York,NY,10003,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732519,-73.995135,07/01/2024,115005,2025-02-12 00:16:32,P,,,01/21/2016,J1772 TESLA
ELEC,5-19 Borden Ave - Garage,5-19 Borden Ave,,Long Island City,NY,11101,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,38.0,,,EVOKE,https://evokesystems.com,GPS,40.741944,-73.95585,09/12/2025,357051,2026-03-31 19:51:34,P,,,01/08/2023,J1772
ELEC,Champion Parking E 16th Street - Tesla Destination,101 E 16th St,,New York,NY,10003,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.735736,-73.988745,07/01/2024,114991,2025-02-12 00:16:32,P,,,06/01/2015,J1772 TESLA
ELEC,Sylvan Kissena Garage LLC - Tesla Destination,43-70 Kissena Blvd,,Flushing,NY,11355,,877-798-3752,E,,Public,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.753861,-73.823669,07/01/2024,122481,2025-02-12 00:16:32,P,,,11/30/2018,TESLA
ELEC,Knickerbocker Plaza Car Park - Lower Level,240 E 92nd St,,New York,NY,10128,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,10.0,,,EVOKE,https://evokesystems.com,GPS,40.781785,-73.949642,09/12/2025,356972,2026-03-31 19:51:34,P,,,05/07/2024,J1772
ELEC,GGMC Belltel Car Park - Tesla Destination,356 Bridge St,,Brooklyn,NY,11201,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692579,-73.985252,07/01/2024,114901,2025-02-12 00:16:32,P,,,03/21/2017,J1772 TESLA
ELEC,Quik Park Little West LLC - Tesla Destination,70 Little West St,,New York,NY,10280,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.70663,-74.016916,07/01/2024,115179,2025-02-12 00:16:32,P,,,05/21/2015,J1772 TESLA
ELEC,1 WATERLINE STATION#5,10 Riverside Blvd,Waterline 1 garage,New York,NY,10069,,888-758-4389,E,,Public,24 hours daily,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.772904,-73.992514,04/04/2026,207796,2026-04-04 02:45:51,,,,03/09/2022,J1772
ELEC,Icon Parking Sutton 53 - Tesla Destination,417 E 53rd St,,New York,NY,10022,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.755363,-73.963841,07/01/2024,115128,2025-02-12 00:16:32,P,,,01/09/2018,J1772 TESLA
ELEC,444 W 19th St - Basement,444 W 19th St,,New York,NY,10011,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,6.0,,,EVOKE,https://evokesystems.com,GPS,40.744837,-74.004912,09/12/2025,357037,2026-03-31 19:51:34,P,,,11/30/2022,J1772
ELEC,Resorts World Parking Garage - 3rd Floor,110-00 Rockaway Blvd,,Queens,NY,11420,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,44.0,,,EVOKE,https://evokesystems.com,GPS,40.67374,-73.832676,09/12/2025,356901,2026-03-31 19:51:34,P,,,04/08/2024,J1772
ELEC,New Rochelle Series,2 Harrison st,,New Rochelle,NY,10802,,888-998-2546,E,,Public,24 hours daily,,,2.0,,,Blink Network,https://blinkcharging.com,GPS,40.912149,-73.778915,04/04/2026,422803,2026-04-04 00:43:42,,,,09/24/2025,J1772
ELEC,ARCHER GREEN MI STATION 2,92-23 168th St,,Jamaica,NY,11433,,888-758-4389,E,,Public,24 hours daily,,,1.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.70524,-73.791466,04/04/2026,225480,2026-04-04 02:34:33,,,,08/13/2022,J1772
ELEC,iPark NYC Central Harlem Garage Corp. - Tesla Destination,49 W 116th St,,New York,NY,10026,,877-798-3752,E,,Public,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.80155,-73.948499,07/01/2024,115141,2025-02-12 00:16:32,P,,,05/27/2016,J1772 TESLA
